,FC,FC,FC,FC,FC,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR,p-value_FDR
Tissue,CSF,CTX,CTX,SPC,SPC,CSF,CTX,CTX,SPC,SPC,sum_significant
Fraction,CSF,insoluble,soluble,insoluble,soluble,CSF,insoluble,soluble,insoluble,soluble,
Leading_Gene,,,,,,,,,,,
ACSL4,,,-0.0094507508970576,,-0.168777243183548,,,0.981039078194822,,0.67963902499248,0
ACSL6,,-0.0764137044289424,-0.142144252399984,-0.725881226992748,-0.171059172124527,,0.939858613509923,0.493550879395277,0.124341556710249,0.196026598427247,0
ACSM5,,,0.117165602963383,,0.64743658504593,,,0.904933247795849,,0.157130310077278,0
ACSS1,,-0.569049706785314,0.0848530421431106,-1.11182757440018,,,0.278871582498653,0.936966254056613,0.0934202951143714,,0
ACSS3,,,-0.373687578917862,,-0.301233655439363,,,0.552826854932069,,0.767303768710573,0
ACTA,,,,,0.254712536551098,,,,,0.673656402767184,0
ACTA1,0.196327072122823,,,,,0.9767077574634933,,,,,0
ACTA2,,,-0.185501066137187,,,,,0.667524519045802,,,0
ACTB,0.0564079107733946,-0.00863895271518311,0.00331728150748534,0.0485945534312306,0.0332360802655063,0.9962090509916655,0.97541674836318,0.970455626848985,0.569068669948349,0.554005389277978,0
ACTBL,,,,,0.245676739148322,,,,,0.476771933194673,0
ACTBL2,-0.0165198614513287,,0.235308117758043,,,0.9962090509916655,,0.425967897692819,,,0
ACTL6B,,,-0.0093023020113252,,,,,0.977341824985197,,,0
ACTN1,-0.617029825846355,0.364031724755831,0.170876521281905,0.646212479159193,0.362827416016492,0.9756835064288556,0.263609510461589,0.368110190183959,0.00701357929497252,0.3495851546914,1
ACTN2,,0.106840110808578,0.147355007627608,,0.404454018642656,,0.857580939949136,0.546387463718318,,0.457843558583747,0
ACTN4,,0.0868566299633551,0.0226777005049004,0.497390058426935,0.0746350969761898,,0.830329167192716,0.871207026738809,0.028608396588098,0.707316466867986,1
ACTR10,,,-0.459405186641469,,,,,0.301814894224994,,,0
ACTR1A,,-0.0819588411927639,-0.110312912685023,0.303225966157131,,,0.873228770553656,0.497799769057807,0.0505422292339505,,0
ACTR1B,,0.0373603520384094,-0.29769533238658,0.463835461415709,,,0.982834224779866,0.273604354814231,0.229983684393396,,0
ACTR2,0.444760526929583,0.241989494814093,-0.0838271231645491,0.458546426243101,,0.9962090509916655,0.370509433408761,0.507722928749409,0.124341556710249,,0
ACTR3,-0.102820682525635,0.103542056691286,0.012232951651567,0.466660927171041,,0.9962090509916655,0.904331160260598,0.955037147212673,0.154353897152231,,0
ACTR3B,,,0.255671977410342,,,,,0.309831889735006,,,0
ACTY,,,,,-0.104119567935294,,,,,0.777292530367292,0
ACTZ,,,,,0.0165372128867518,,,,,0.911940402318494,0
ACYP1,2.4918292432119e-05,,,,,0.999899937018293,,,,,0
ACYP2,-0.015682941012912,,,,,0.9962090509916655,,,,,0
ADA10,,,,,0.294671007443703,,,,,0.499460581256929,0
ADA2,-0.0703503302607764,,,,,0.9962090509916655,,,,,0
ADA22,,,,,0.142949854838291,,,,,0.631883745565484,0
ADA23,,,,,0.816591587347757,,,,,0.461296962208459,0
ADAM10,0.0313010074212077,,0.720140616902551,,,0.9962090509916655,,0.360462091331239,,,0
ADAM11,-0.0385449105158351,,,,,0.9962090509916655,,,,,0
ADAM15,0.199484258945443,,,,,0.6651869275246405,,,,,0
ADAM17,0.0723003825625863,,,,,0.9962090509916655,,,,,0
ADAM22,-0.058661404257581,,0.208448021282676,,,0.9962090509916655,,0.371746012927044,,,0
ADAM23,-0.0435635915271426,,-0.163410341319602,,,0.9962090509916655,,0.855819605260089,,,0
ADAM28,0.0114067503746522,,,,,0.9962090509916655,,,,,0
ADAM9,0.0765347390463855,,,,,0.9962090509916655,,,,,0
ADAMDEC1,0.0349410658790941,,,,,0.9962090509916655,,,,,0
ADAMTS1,-0.0565285001482287,,,,,0.9962090509916655,,,,,0
ADAMTS2,-0.172615015394635,,,,,0.9962090509916655,,,,,0
ADAMTS4,0.103962869355174,,,,,0.9805950542358552,,,,,0
ADAMTS8,0.164206918847363,,,,,0.8188736689614653,,,,,0
ADAMTSL2,0.0268720899309436,,,,,0.9962090509916655,,,,,0
ADAMTSL3,0.0059984288107042,,,,,0.9962090509916655,,,,,0
ADAMTSL4,0.0358649331469874,,,,,0.9962090509916655,,,,,0
ADAP1,,-0.19001069002898,-0.2300843981305,0.153671035059094,-0.260349670553484,,0.574830418452121,0.240360609675636,0.661837171318527,0.288999980929141,0
ADAR,,0.00783676570072656,-0.101724498376047,-0.116770297959938,,,0.99584844120121,0.627457281903836,0.854828265466749,,0
ADAS,,,,,0.243890490808377,,,,,0.590538440857991,0
ADCY2,,0.239138209903456,0.0678727448412285,-0.793309495507247,0.187998814969457,,0.693225288776226,0.831694248002379,0.359372536033422,0.411717719131863,0
ADCY8,,,0.292875109133457,,0.0024444105814615,,,0.550565578521971,,0.999315151584051,0
ADCY9,,,-0.107580024950633,,-0.0424844061748866,,,0.685808362458383,,0.940141432243163,0
ADD1,,0.146322925496111,-0.100124841806553,0.0672044168494393,,,0.802896529822386,0.360462091331239,0.843769273457845,,0
ADD2,,-0.194738302581912,-0.162901397826882,0.194787740043697,,,0.718795904289001,0.300339511499474,0.727275179660839,,0
ADD3,,-0.0810434391029889,0.111096654136579,-0.14522118082033,,,0.904538152383958,0.630994202636965,0.689258480727729,,0
ADDA,,,,,-0.172716833200422,,,,,0.146876026840552,0
ADDB,,,,,-0.319880362729982,,,,,0.205758957860831,0
ADDG,,,,,0.0854972422954238,,,,,0.770073607974799,0
ADGRB1,0.0407731873648505,,,,,0.9962090509916655,,,,,0
ADGRB2,0.019975077022206,,0.188074303846764,,,0.9962090509916655,,0.345260263524672,,,0
ADGRB3,0.0748784460988983,,0.126576910173999,,,0.9962090509916655,,0.852611627433512,,,0
ADGRE5,-0.142676245538812,,,,,0.9962090509916655,,,,,0
ADGRG1,-0.000741916154002,,,,,0.9983829476487951,,,,,0
ADGRL1,-0.0360788352414261,,0.021121278124773,,,0.9962090509916655,,0.956985284288795,,,0
